No.	单词	解释
105	marrant	marrant, e a. 1. 滑稽的，有趣的 un type marrant一个滑稽可笑的人 une histoire marrante有趣的故事 c'est pas marran...
106	sympathique	a. 1. 给人好感的, 引起好感的; 〈旧语，旧义〉对…有好感的 trouver qn sympathique 觉得某人讨人欢喜 sympathique à qn et an...
107	sympa	a.inv. 〈口语〉 1. 给人好感的, 讨人欢喜的 un gars sympa 一个讨人欢喜的小伙子 2. 令人喜悦的, 令人惬意的, 非常开心的 ...
108	moustachu	a. , n. m 长小胡子的， 蓄着很大的唇髭的
109	barbu	a. 1有胡子的； 留胡子的 2有芒刺的， 有刺的 n. m 1有胡子的人； 留胡子的人 2大胡子
110	lunette	n.f. 1. 望远镜 ~ astronomique 天文望远镜 2. pl. 眼镜 ~s de soleil 太阳眼镜 porter des ~s 戴眼镜 3.〈建〉小天窗...
111	bleu	bleu, e a. 1. 蓝色的, 天蓝的, 青的 ciel bleu 蔚蓝的天空 menton bleu 〈引申义〉剃得发青的下巴颏 conte bleu 〈转义〉〈...
112	marron	marron, ne a. 1逃亡的une esclave marronne 逃亡的女奴隶 2逃在野外的cochon marron 逃到野外的猪 3从事非法交易的，非法...
113	long	long, -ue a. 1.长的，远的: un ~ fil 一根长线 voyage au ~ cours 海上长途旅行，远程旅行 sauce ~ue 稀薄的沙...
114	raide	a. 1硬直的cheveux raides 硬直的头发 2僵直的， 僵硬的raide de froid 冻僵的 3挺直的， 直挺挺的4拉紧的， 绷紧的corde ra...
115	châtain	a. 栗色的， 褐色的 il a des cheveux châtains. 他长着褐色的头发。 n. m 栗色， 褐色 un châtain clair ...
116	roux	roux, sse a. 1. 橙黄色的, 橙红色的, 红棕色的 cheveux roux 红棕色的头发 feuilles rousses 枯黄的叶子 2. ...
117	blanc	blanc, blanche a. 1. 白的, 白色的;近白色的 plume blanche 白羽毛 blanc comme la neige 似雪一般白的, 雪白的 ...
118	blond	blond, e a. 1金黄色的， 金栗色的； 有金黄色头发的 2淡黄色的 n. 有金黄色头发的人 ce n'est pas une blonde naturelle...
119	brun	brun, e a. 1褐色的， 棕色的， 咖啡色的sol brun 褐色的土地 2有棕色头发及带有浅黑色皮肤的3被晒黑的4纳粹的； 极右的 n. 棕色头发及带有浅黑...
120	gris	gris, e a. 1灰色的chemise grise 灰色衬衣 temps gris 阴天 2暗淡的， 阴沉的， 阴郁的une vie grise 单调的，无生气的生...
121	noir	noir,e adj. 1. 黑的， 黑色的l'or noir 黑黄金，石油 encre noire 黑墨水 tableau noir 黑板 raisin noir 紫葡萄...
122	vieille	vieux的阴性形式。 解释参见vieux 常见用法 un vieux manteau一件旧大衣 vieille fille péj老处女 une petite vieille...
123	vieux	f.sing.vieille, m.pl.vieux, f.pl.vieilles a. 1. 年老的, 老年的, 衰老的 un vieil homme一个老头儿 les vi...
124	âgé	âgé, e adj. 老年的, 上了年纪的; places réservées aux personnes âgées 老年人专座 ~ de 年龄为. . . 的; âgé...
125	jeune	adj. 1. 年轻的； 青年的， 青春的jeune homme 青年，小伙子 un homme jeune 年轻还轻的人 jeune fille 少女 jeune perso...
126	mesure	动词变位提示：mesure可能是动词mesurer的变位形式 n. f. 1测量， 测定 2大小， 尺寸； 人体尺寸 3衡量， 估计； 价值， 能力 4度量， 度量单位...
127	plus	;在辅音或嘘音h前以及在pas plus , non plus , ne...plus 等表示否定意思的短语中读 ;在元音或哑音h前读 adv. A. 1. 更, 更...
128	à peu près	loc. adv. 差不多 n. m 性数不变1大约， 大概， 近似 2不精确的事物， 不完全的事情 3一种利用同音异义词的文字游戏 常见用法 nous étions à...
129	assez	adv. 1. 够, 足够;相当 juste assez 正够 pas assez 不够 plus qu'assez 过多 assez longtemps相当长久 ...
130	costaud	costaud, e a., .n. 〈口语〉 1. 强壮的, 结实的 2. 坚固的 3. 知识广博的, 有广泛知识的 Il est costaud en m...
131	fort	fort, e a. 1. 强壮的, 强健的, 力气大的 un homme grand et fort 一个高大强壮的人 fort comme un Turc〈口语〉非常强...
132	gros	gros, se a. 1. 大的, 巨大的, 粗大的 grosse pierre大石块 gros caractères大号铅字;大号字体 gros bétail大牲畜 ...
133	maigre	a. 1. 瘦的 maigre comme un clou 骨瘦如柴, 瘦骨嶙峋 devenir maigre 变瘦 2. 不含脂肪的 viande maigr...
134	mince	a. 1薄的une lame bien mince 很薄的双面刀片 étoffe mince 薄布 2瘦长的； 细的une taille mince 纤细的腰身 un mi...
135	sonner	v. i. 1. 响， 鸣： sonner clair 发出清脆的声音sonner creux 发出空洞的声音sonner faux 发出不准的音； 听来是虚假的： aveu qui...
136	faire	v. t. 1. 做出， 创造， 制造； 创作； 制订： faire une machine 制造一个机器 faire le pain 做面包 L'abeille fait...
137	surtout	adv. 特别， 尤其 J'ai ~ besoin de repos. 我尤其需要休息。 C'est pratique et ~ simple. 这很实用特别是很简...
138	peine	n. f 1刑， 刑罚； 惩罚， 惩处， 处分2痛苦， 难受， 悲痛； 苦难， 艰辛3担心， 不安， 忧虑4劳苦， 辛劳， 辛苦5困难， 障碍 à~adv. 1刚刚， 才； 几乎不...
139	autre	a. 1. 另外的, 其它的, 别的 l'autre porte 另一扇门 Avez-vous vu son autre enfant？您看到过他另一个孩子吗？ De...
140	venir	v. i. 1. 来， 来到： Il est venu. 他来了。 Il est venu à pied . 他步行来的。 Il est venu en voiture...
141	souvent	adv. 经常, 常常 Il ne vient pas souvent ici.他不常到这里来。 le plus souvent 往往 plus souvent qu'à...
142	louer	v. t. 1. 称赞， 表扬， 夸奖： louer les exploits héroïques de … 表彰…的英雄事迹louer les qualités d'une cho...
143	pièce	n.f. 1. 片, 块, 段 une pièce de viande一块肉 une pièce de bois一块木料, 一段木材 une pièce de drap一...
144	cet	ce在元音或哑音h开头的阳性单数名词前用cet adj. 这, 这些 cet homme 这个男人 Cet enfant aime bien son papa. 这孩子爱他...
145	intelligent	intelligent, e a. 1. 有智力的 2. 聪明的, 理解力强的 3. 机智灵巧的, 精明的 intelligent dans les affaires...
146	garçon	n.m. 1. 男孩Je connais ce petit garçon. 我认识这个小男孩。 2. 小伙子Il est plutôt beau garçon. 他是相当漂亮...
147	hier	adv. 1. 昨天 hier matin 昨天上午 hier soir 昨天晚上 journal d'hier 昨天的报纸 2. 近来, 最近 J...
148	école	n. f. 学校, 校舍; 小学校, 幼儿园, 小学及学龄前教育; école primaire 小学 école maternelle 幼儿园 aller à l'école...
149	trouver	v. t. 1. 找到， 找着； 得到： trouver du travail 找到工作Je ne trouve plus mes lunettes. 我眼镜找不着了。 trouver...
150	municipal	municipal, ale; pl.~aux a. 1. 自治市的 2. 市的, 市镇的;市政的, 市镇管理的 élections municipales市议会选举 ...
151	yeux	n. m. pl. 眼睛 常见用法 des yeux en amande 杏眼 cligner des yeux 眨眼 se frotter les yeux 揉...
152	œil	复数 yeux n. m. 1. 眼睛，目le globe de l'œil 眼球，眼珠 le blanc de l'œil 眼白 avoir les yeux bleus 有...
153	pendant	pendant, e adj. 1. 下垂的,悬挂的,耷拉着的 lapin aux oreilles pendantes 垂耳兔 fruits pendants 未采摘的果实...
154	chauve	a. 1. 秃的, 秃顶的 crâne chauve 秃头, 秃顶 être chauve comme un œuf 〈口语〉完全秃了 2. 〈转义〉〈书面语〉光...
155	raser	v. t. 1. 剃， 刮； 剃光胡子或头发： raser la barbe 刮胡子raser les joues de qn 给某人修面raser la tête de qn 给某人...
156	couper	v. t. dir. 1. 切， 割， 截， 砍， 剪： couper du pain 切面包couper les blés 割麦couper un bras 截去一只胳膊couper...
157	ondulée	adj. f 波动的， 脉动的：courant électrique~波动电流， 脉动电流armature ondulée 螺纹钢筋dalle ondulée 瓦楞板plaque ondul...
158	frisé	frisé, e a. 1. 卷曲的, 卷起的 poils frisés 卷毛 velours frisé 毛圈丝绒 chou frisé 皱叶甘蓝 ...
159	plutôt	adv. 1. 宁愿， 宁可； 与其…倒不如： Je choisirais plutôt celui-ci que celui-là. 我宁愿要这个， 不要那个。 Plutôt mou...
160	physique	a. 1. 物质的, 自然的, 有形的 le monde physique 物质世界 géographie physique 自然地理学 sciences physiqu...
161	asiatique	a. 1. 亚洲的 population asiatique亚洲居民 2. luxe asiatique 〈古，书〉特别奢侈，过分豪华 n. Asiatique...
162	chambre	n. f. 1.房间；卧室: ~ à coucher 卧室 ~ d'ami, ~ à donner 客房 ~ d'enfant 孩子卧室 ~ meublée 带...
163	ceci	pron.dém. 这, 这个 Ceci est à moi, cela est à vous.这是我的, 那是您的。 Donnez-moi ceci et non cela....
164	avec	prép. 1. 和…一起 se promener ~ qn 和某人一起散步 2. 和， 同， 跟， 与 être d'accord ~ qn 和某人意见一致 ...
165	quitter	v. t. 1. 免除； 让给2. 弃约； 放弃， 脱离； 中断， 丢下： quitter son poste 离职quitter la partie 认输； 放弃Ne quitte...
166	pays	n. m. 1. 国，国家；祖国visiter des pays étrangers 游览外国 défendre son pays 保卫祖国 2. 故乡，家乡，老家avoir...
167	neige	n. f 1雪； 雪地， 滑雪站Aller à la neige 去山上滑雪 2似雪的东西； 雪白的东西3白面儿， 白粉4 de~纯白的， 雪白的 常见用法 en...
168	dernier	dernier, ère adj. 1. 最后的， 最末的la dernière fois 最后一次 faire un dernier effort 作最后的努力 2. 极度...
169	lorsque	conj. 当…时； 在…情况下 Lorsqu’il pleut, les oiseaux se taisent 下雨时，鸟儿们都静下来了
170	époque	n. f. 1. 时代 faire époque 划时代，具有划时代意义，开辟新纪元 époque actuelle 当今时代 notre époque 我们的时代 a...
171	où	pron., adv.rel. 1. 在…地方;去…地方;〈转义〉在…状态 le pays où il est né他出生的地方 dans l'état où il est按...
172	moment	n. m. 1时候， 时间Je n'ai pas un moment à moi.我没有空闲的时候。 2片刻， 一会儿Un moment, s'il vous plaît ! ...
173	suivre	v. t. 1. 跟随； 伴随； 尾随： suivre qn de près 紧紧跟随某人 suivre une procession 跟在行列后面 suivre de l...
174	grandir	v. i. 1. 长高， 长大； 变大； 成长： arbre qui grandit rapidement 生长得很快的树L'enfant a grandi de cinq centi...
175	habiter	v. i. 居住： habiter à la campagne 住在乡村Il habite 32, rue de Pékin. 他住在北京路32号 v. t. 1. 居住在， 定...
176	acheter	v. t. 1. 购买， 买： acheter au comptant 现款购买acheter à crédit 赊购acheter en détail 零购acheter en gr...
177	dépêche	n.f. 1. 急件;快信, 邮件 dépêche diplomatique外交信件 sac de dépêches邮包, 邮袋 2. 电讯;电报 dépêc...
178	devenir	v. i. 1. 变成， 变得， 成为： devenir grand 变得高大Il est devenu mon ami. 他成了我的朋友。 Que devenez-vous? Qu'...
179	pour	prép. 1. 向, 往 partir pour l'Espagne动身到西班牙去 Les voyageurs pour Lyon, en voiture！去里昂的旅客, ...
180	déjeuner	n. m. 1. 午餐； 午餐菜肴2. 早餐， 早点3. 早餐时用的带碟子的茶杯 v. i. 1. 吃午饭， 用午餐2. 吃早饭， 用早餐 v. t. indir. ...
181	baguette	n.f. 1. 小棒, 小棍 baguette de chef d'orchestre乐队指挥棒 mener qn à la baguette 〈转义〉任意指挥某人 ma...
182	vouloir	v. t. dir. 1. 要， 想要， 愿意， 希望： un enfant qui veut un jouet 想要一个玩具的孩子Je veux savoir ce qui se p...
183	désirer	v. t. 1. 希望， 愿意， 想： désirer le succès 希望成功désirer faire des progrès 愿意进步Que désirez-vous? 你有...
184	pluriel	pluriel,-le adj. 1. 复数的 terminaison plurielle 复数词尾 2. 复数的，多容的 texte pluriel 多容文本，复读文本...
185	bêtise	n.f. 1. 愚蠢， 愚笨La bêtise est souvent agressive. 愚蠢常常导致冒犯他人。 être d'une rare bêtise 蠢得少见 ...
186	bêtiser	v. i. 干蠢事， 说蠢话
187	devant	prép. 1. 在…前面, 在…面前, 当…面 devant la maison 在房屋前面 Ne vous mettez pas devant moi, je ne ...
188	cadeau	pl.~x n. m 礼物, 礼品 faire un ~ à qn 送某人礼物 Ce vase est un cadeau de mes enfants. 这个花瓶是我的孩子们...
189	transmettre	v. t. 1. 转达， 传达， 转交， 传送， 传递； 播发， 播送： transmettre un ordre 传达一个命令transmettre un message à qn ...
190	presque	adv. 将近， 几乎, 差不多 Il est presque sourd. 他几乎聋了。 C'est presque sûr. 这几乎是肯定的。 Il est presque ...
191	même	a.indéf. 1. 相同的， 同样的Il fait la même température qu'hier. 今天气温和昨天一样。 C'est la même chose. 这是...
192	tonique	adj. 1. 使强壮的， 强身的， 健身的， 滋补的 médicament tonique 强壮剂， 补药 2. 使人振作的， 使人振奋的 froid toniqu...
193	souvenir	v. impers. 想起， 记得， 忆及 Il me souvient de ce fait. 我想起了这件事。 Il ne me souvient pas de le...
194	penser	v. i . 想， 思想， 思索， 思考， 思维： oser penser, oser agir 敢想， 敢干革命 encourager les élèves à pense...
195	inscrire	v. t. 1. 铭刻； 题写： inscrire des noms sur un monument 把一些名字刻在纪念碑上 2. 登录， 登记， 记入， 写下；列入： inscrir...
196	dire	v. t. 1. 说， 说道， 讲： dire qch à qn 对某人说某事dire qch à voix basse 低声说某事dire au revoir 说再见，告别à ce ...
197	emmener	v. t. 1. 带走： Emmenez le prisonnier. 把囚犯带走！ 2. 率领，带领： capitaine qui sait emmener son équipe 善...
198	vivre	v. i. 1. 活着； 活， 生存： ne vivre que pour … 把全部精力用于…； 一心为 …Qui vivra verra. 日久自明。 等着瞧吧。 Je n'ai ...
